Home Theatre Audio;Audio;Poland;ul. Leszczynowa 11, 03-197 Warszawa;Andrzej Kisiel;AVT Corporation;222 578 430;http://www.audio.com.pl/
Home Theatre Audio;Audio & Cinema em Casa;Portugal;Rua Prof. Alfredo de Sousa, 7,  5o. Esq.1600-188 Lisboa;Jorge Goncalves;Cadernos do Som Publicacoes;91 723 31 08;http://www.audiopt.com/
Home Theatre Audio;AUDIOreview;Italy;Via Nomentana, 1018  00137 Roma;Rocco Patriarca;Audiovideoteam Societa Cooperativa;06 412 182 87;http://www.audioreview.it/
Home Theatre Audio;FWD Magazine;Belgium;Van den Hautelei 101,  2100 Deurne;Jamie Biesemans;Xingo Invest;473 946983;http://www.fwdmagazine.be/
Home Theatre Audio;Heimkino;Germany;Gartroper Strasse 42, D-47138 - Duisburg;Michael Voigt;Michael E. Brieden Verlag GmbH;203 42 92 222;http://www.heimkino-magazin.de/
Home Theatre Audio;HemmaBio;Sweden;Vattenverksvägen 8 - 131 41 Nacka;Magnus Fredholm;Förlaget Hifi & Musik AB;-(0)733 60 33 88;http://www.hemmabiotidningen.se/
Home Theatre Audio;Hi-Files;Serbia;Hektoroviæeva 1B / lokal 6, 11050 Belgrade;Ljubiša Miodragoviæ;Hi-Files Group d.o.o.;63 8866 486;http://www.hi-files.com/
Home Theatre Audio;Hifimaailma;Finland;Hämeentie 153, - 00560 Helsinki;Mauri Eronen;Fokus Media Finland Oy;4585 65 090;http://www.hifimaailma.fi/
Home Theatre Audio;Home Cinema Choice;UK;Enterprise House, Enterprise Way, Edenbridge, Kent, TN8 6HF;Mark Craven;AVTech Media Ltd;1689 869 909;http://www.homecinemachoice.com/
Home Theatre Audio;Les Années Laser;France;20, passage Turquetil, - 75011 Paris;Gilles Gerin;Le 15 du mois SAS;1 55 25 80 00;http://www.annees-laser.com/
Home Theatre Audio;Sound & Vision;USA;Madison Avenue, 8 th floor, New York, NY 10016;Al Griffin;AVTech Media Ltd;;https://www.soundandvision.com/
Home Theatre Audio;Stereo, Video & Multimedia;Ukraine;Levanevskogo 5, office “Brand”, 03058 Kiev;Julian Zarembovsky;Media Most;044 223 44 24;http://stereo-video.kiev.ua/
Home Theatre Audio;Sztereó Sound&Vision;Hungary;Attila út 101, H-1012 Budapest;Rezsõ Soltész;Soltész Reklám KFT.;1 453 1040;http://www.sztereomagazin.hu/
Home Theatre Display & Video;Audio & Cinema em Casa;Portugal;Rua Prof. Alfredo de Sousa, 7,  5o. Esq.1600-188 Lisboa;Jorge Goncalves;Cadernos do Som Publicacoes;91 723 31 08;http://www.audiopt.com/
Home Theatre Display & Video;Digital Video HT;Italy;Via Nomentana, 1018  00137 Roma;Mario Mollo;Audiovideoteam Societa Cooperativa;06 412 182 87;http://www.digitalvideoht.it/
